school,district_id,district_name,school_id,achievement_dir,growth_dir,overall_dir,emh
EADS MIDDLE SCHOOL,1430,EADS RE-1,2332,up,flat,flat,M
EADS HIGH SCHOOL,1430,EADS RE-1,2336,up,up,up,H
EAGLE ACADEMY,900,DOUGLAS COUNTY RE 1,2338,,,flat,H
EAGLE COUNTY CHARTER ACADEMY,910,EAGLE COUNTY RE 50,2340,flat,down,flat,E
EAGLE COUNTY CHARTER ACADEMY,910,EAGLE COUNTY RE 50,2340,flat,flat,flat,M
EAGLE CREST ELEMENTARY SCHOOL,470,ST VRAIN VALLEY RE 1J,2343,down,flat,flat,E
EAGLE VALLEY ELEMENTARY SCHOOL,910,EAGLE COUNTY RE 50,2346,flat,up,up,E
EAGLE VALLEY HIGH SCHOOL,910,EAGLE COUNTY RE 50,2350,up,up,flat,H
EAGLE VALLEY MIDDLE SCHOOL,910,EAGLE COUNTY RE 50,2355,flat,up,flat,M
EAGLECREST HIGH SCHOOL,130,CHERRY CREEK 5,2357,flat,flat,flat,H
EAGLEVIEW MIDDLE SCHOOL,1040,ACADEMY 20,2358,flat,flat,flat,M
EAGLEVIEW ELEMENTARY SCHOOL,20,ADAMS 12 FIVE STAR SCHOOLS,2361,flat,down,down,E
EAGLETON ELEMENTARY SCHOOL,880,DENVER COUNTY 1,2364,up,up,up,E
EAST ELEMENTARY SCHOOL,2020,MOFFAT COUNTY RE:NO 1,2374,up,down,flat,E
EAST GRAND MIDDLE SCHOOL,1350,EAST GRAND 2,2376,flat,up,flat,M
EAST ELEMENTARY SCHOOL,140,LITTLETON 6,2382,flat,down,down,E
EAST MIDDLE SCHOOL,180,ADAMS-ARAPAHOE 28J,2384,up,flat,flat,M
EAST MIDDLE SCHOOL,2000,MESA COUNTY VALLEY 51,2392,flat,flat,flat,M
EAST HIGH SCHOOL,2690,PUEBLO CITY 60,2394,flat,down,flat,H
EAST HIGH SCHOOL,880,DENVER COUNTY 1,2398,flat,flat,flat,H
EAGLE RIDGE ACADEMY,40,BRIGHTON 27J,2399,flat,flat,flat,H
TARVER ELEMENTARY SCHOOL,20,ADAMS 12 FIVE STAR SCHOOLS,2410,flat,up,flat,E
EAST MEMORIAL ELEMENTARY SCHOOL,3120,GREELEY 6,2414,up,flat,up,E
EASTRIDGE COMMUNITY ELEMENTARY SCHOOL,130,CHERRY CREEK 5,2428,flat,flat,down,E
EVA R BACA ELEMENTARY SCHOOL,2690,PUEBLO CITY 60,2438,flat,up,up,E
EATON MIDDLE SCHOOL,3085,EATON RE-2,2452,flat,flat,flat,M
EATON HIGH SCHOOL,3085,EATON RE-2,2456,flat,flat,up,H
EDGEWATER ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,2496,up,up,up,E
EDISON ACADEMY,1120,EDISON 54 JT,2504,,,up,H
EDISON ELEMENTARY SCHOOL,880,DENVER COUNTY 1,2506,up,up,flat,E
EDISON ELEMENTARY SCHOOL,1010,COLORADO SPRINGS 11,2510,down,down,down,E
EDISON ELEMENTARY SCHOOL,1120,EDISON 54 JT,2514,flat,,up,E
HAYDEN VALLEY ELEMENTARY SCHOOL,2760,HAYDEN RE-1,2522,flat,up,up,E
EDITH WOLFORD ELEMENTARY SCHOOL,1040,ACADEMY 20,2524,flat,flat,flat,E
EDISON JUNIOR-SENIOR HIGH SCHOOL,1120,EDISON 54 JT,2526,,,flat,H
EDISON JUNIOR-SENIOR HIGH SCHOOL,1120,EDISON 54 JT,2526,up,flat,up,M
NIKOLA TESLA EDUCATION OPPORTUNITY CENTER,1010,COLORADO SPRINGS 11,2528,,,flat,A
NIKOLA TESLA EDUCATION OPPORTUNITY CENTER,1010,COLORADO SPRINGS 11,2528,down,down,flat,H
NIKOLA TESLA EDUCATION OPPORTUNITY CENTER,1010,COLORADO SPRINGS 11,2528,down,down,down,M
EDWARDS ELEMENTARY SCHOOL,910,EAGLE COUNTY RE 50,2530,up,flat,flat,E
EIBER ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,2550,up,up,flat,E
EISENHOWER ELEMENTARY SCHOOL,480,BOULDER VALLEY RE 2,2552,down,down,down,E
ELBERT ELEMENTARY SCHOOL,950,ELBERT 200,2570,up,flat,flat,E
LEGACY ACADEMY,920,ELIZABETH C-1,2572,flat,down,down,E
LEGACY ACADEMY,920,ELIZABETH C-1,2572,up,up,flat,M
ELK CREEK ELEMENTARY,1195,GARFIELD RE-2,2573,up,down,down,E
ELBERT JUNIOR-SENIOR HIGH SCHOOL,950,ELBERT 200,2574,flat,down,flat,H
ELBERT JUNIOR-SENIOR HIGH SCHOOL,950,ELBERT 200,2574,down,down,down,M
CHERRY DRIVE ELEMENTARY SCHOOL,20,ADAMS 12 FIVE STAR SCHOOLS,2576,flat,down,flat,E
SKYVIEW ELEMENTARY SCHOOL,20,ADAMS 12 FIVE STAR SCHOOLS,2578,flat,flat,flat,E
HUNTERS GLEN ELEMENTARY SCHOOL,20,ADAMS 12 FIVE STAR SCHOOLS,2580,flat,flat,flat,E
ROCKY MOUNTAIN ELEMENTARY SCHOOL,20,ADAMS 12 FIVE STAR SCHOOLS,2582,flat,up,up,E
RIVERDALE ELEMENTARY SCHOOL,20,ADAMS 12 FIVE STAR SCHOOLS,2584,flat,down,down,E
ELDORADO K-8 SCHOOL,480,BOULDER VALLEY RE 2,2589,flat,flat,flat,E
ELDORADO K-8 SCHOOL,480,BOULDER VALLEY RE 2,2589,flat,flat,flat,M
ELIZABETH MIDDLE SCHOOL,920,ELIZABETH C-1,2604,down,down,down,M
ELIZABETH HIGH SCHOOL,920,ELIZABETH C-1,2608,flat,up,flat,H
ELK CREEK ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,2616,up,up,flat,E
ELKHART ELEMENTARY SCHOOL,180,ADAMS-ARAPAHOE 28J,2618,flat,down,down,E
FOUNTAIN INTERNATIONAL MAGNET SCHOOL,2690,PUEBLO CITY 60,2620,flat,,down,E
ELLICOTT ELEMENTARY SCHOOL,1050,ELLICOTT 22,2638,flat,flat,flat,E
ELLICOTT MIDDLE SCHOOL,1050,ELLICOTT 22,2640,down,flat,flat,M
ELLICOTT SENIOR HIGH SCHOOL,1050,ELLICOTT 22,2642,flat,flat,flat,H
ELLIS ELEMENTARY SCHOOL,880,DENVER COUNTY 1,2652,up,down,flat,E
ELDORADO ELEMENTARY SCHOOL,900,DOUGLAS COUNTY RE 1,2656,flat,flat,flat,E
EMERALD ELEMENTARY SCHOOL,480,BOULDER VALLEY RE 2,2702,flat,down,down,E
NEW EMERSON SCHOOL AT COLUMBUS,2000,MESA COUNTY VALLEY 51,2724,flat,down,flat,E
EMILY GRIFFITH TECHNICAL COLLEGE,880,DENVER COUNTY 1,2726,flat,,flat,H
ENGLEWOOD HIGH SCHOOL,120,ENGLEWOOD 1,2746,down,flat,flat,H
ENGLEWOOD LEADERSHIP ACADEMY,120,ENGLEWOOD 1,2750,flat,up,up,M
ENGLEWOOD MIDDLE SCHOOL,120,ENGLEWOOD 1,2752,flat,up,up,M
VENTURE PREP,880,DENVER COUNTY 1,2755,flat,flat,flat,H
VENTURE PREP,880,DENVER COUNTY 1,2755,down,flat,flat,M
ERIE ELEMENTARY SCHOOL,470,ST VRAIN VALLEY RE 1J,2758,flat,flat,flat,E
ERIE MIDDLE SCHOOL,470,ST VRAIN VALLEY RE 1J,2760,flat,flat,flat,M
ERIE HIGH SCHOOL,470,ST VRAIN VALLEY RE 1J,2761,flat,flat,flat,H
ESCUELA TLATELOLCO SCHOOL,880,DENVER COUNTY 1,2789,down,flat,flat,H
ESCUELA TLATELOLCO SCHOOL,880,DENVER COUNTY 1,2789,flat,flat,flat,M
ESTES PARK K-5 SCHOOL,1570,PARK (ESTES PARK) R-3,2790,flat,flat,flat,E
ESTES PARK MIDDLE SCHOOL,1570,PARK (ESTES PARK) R-3,2792,flat,up,up,M
ESTES PARK HIGH SCHOOL,1570,PARK (ESTES PARK) R-3,2794,up,up,flat,H
EXCEL ACADEMY CHARTER SCHOOL,1420,JEFFERSON COUNTY R-1,2799,up,up,up,E
EXCEL ACADEMY CHARTER SCHOOL,1420,JEFFERSON COUNTY R-1,2799,,,flat,H
EXCEL ACADEMY CHARTER SCHOOL,1420,JEFFERSON COUNTY R-1,2799,up,up,up,M
EXPLORER ELEMENTARY SCHOOL,1040,ACADEMY 20,2800,flat,down,down,E
EUCLID MIDDLE SCHOOL,140,LITTLETON 6,2804,flat,down,flat,M
EVERITT MIDDLE SCHOOL,1420,JEFFERSON COUNTY R-1,2820,flat,flat,down,M
EVERGREEN MIDDLE SCHOOL,1420,JEFFERSON COUNTY R-1,2832,flat,up,flat,M
EVERGREEN HIGH SCHOOL,1420,JEFFERSON COUNTY R-1,2836,flat,flat,flat,H
EARLY COLLEGE HIGH SCHOOL AT ARVADA,8001,CHARTER SCHOOL INSTITUTE,2837,down,flat,down,H
EARLY COLLEGE HIGH SCHOOL AT ARVADA,8001,CHARTER SCHOOL INSTITUTE,2837,flat,flat,flat,M
EXPEDITIONARY LEARNING SCHOOL,9130,EXPEDITIONARY BOCES,2840,flat,flat,up,E
EXPEDITIONARY LEARNING SCHOOL,9130,EXPEDITIONARY BOCES,2840,down,flat,down,H
EXPEDITIONARY LEARNING SCHOOL,9130,EXPEDITIONARY BOCES,2840,down,down,down,M
UNIVERSITY SCHOOLS,3120,GREELEY 6,2850,flat,down,down,E
UNIVERSITY SCHOOLS,3120,GREELEY 6,2850,flat,flat,flat,H
UNIVERSITY SCHOOLS,3120,GREELEY 6,2850,flat,flat,flat,M
FAIRMONT K-8 SCHOOL,880,DENVER COUNTY 1,2856,up,up,up,E
FAIRMONT K-8 SCHOOL,880,DENVER COUNTY 1,2856,up,flat,flat,M
FAIRMOUNT ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,2866,flat,up,flat,E
FAIRVIEW ELEMENTARY SCHOOL,70,WESTMINSTER 50,2876,up,up,up,E
FALCON VIRTUAL ACADEMY,1110,FALCON 49,2877,flat,flat,flat,M
FAIRVIEW ELEMENTARY SCHOOL,880,DENVER COUNTY 1,2880,flat,down,down,E
FAIRVIEW HIGH SCHOOL,480,BOULDER VALLEY RE 2,2892,flat,flat,flat,H
FALCON CREEK MIDDLE SCHOOL,130,CHERRY CREEK 5,2897,flat,flat,flat,M
FALCON ELEMENTARY SCHOOL,1110,FALCON 49,2902,up,down,flat,E
FALCON MIDDLE SCHOOL,1110,FALCON 49,2906,flat,flat,flat,M
FALCON HIGH SCHOOL,1110,FALCON 49,2908,flat,up,up,H
FALL RIVER ELEMENTARY SCHOOL,470,ST VRAIN VALLEY RE 1J,2912,flat,down,flat,E
FEDERAL HEIGHTS ELEMENTARY SCHOOL,20,ADAMS 12 FIVE STAR SCHOOLS,2918,down,flat,flat,E
FIELD ELEMENTARY SCHOOL,140,LITTLETON 6,2926,flat,flat,flat,E
FIRESIDE ELEMENTARY SCHOOL,480,BOULDER VALLEY RE 2,2940,flat,flat,flat,E
FISHER'S PEAK ELEMENTARY SCHOOL,1580,TRINIDAD 1,2944,flat,flat,flat,E
FOUNDATIONS ACADEMY,40,BRIGHTON 27J,2945,flat,flat,flat,E
FITZMORRIS ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,2946,down,down,down,E
MAMMOTH HEIGHTS ELEMENTARY,900,DOUGLAS COUNTY RE 1,2952,flat,flat,flat,E
STONE MOUNTAIN ELEMENTARY,900,DOUGLAS COUNTY RE 1,2953,flat,down,flat,E
ROXBOROUGH INTERMEDIATE,900,DOUGLAS COUNTY RE 1,2954,flat,flat,flat,E
FLAGLER ELEMENTARY SCHOOL,1450,ARRIBA-FLAGLER C-20,2956,up,flat,up,E
FLAGLER MIDDLE SCHOOL,1450,ARRIBA-FLAGLER C-20,2958,down,down,down,M
FLAGLER SENIOR HIGH SCHOOL,1450,ARRIBA-FLAGLER C-20,2960,flat,,flat,H
FALCON BLUFFS MIDDLE SCHOOL,1420,JEFFERSON COUNTY R-1,2963,up,up,flat,M
FLAGSTAFF CHARTER ACADEMY,470,ST VRAIN VALLEY RE 1J,2964,flat,flat,flat,E
FLAGSTAFF CHARTER ACADEMY,470,ST VRAIN VALLEY RE 1J,2964,up,flat,flat,M
FLAGSTONE ELEMENTARY SCHOOL,900,DOUGLAS COUNTY RE 1,2965,flat,flat,flat,E
FLATIRONS ELEMENTARY SCHOOL,480,BOULDER VALLEY RE 2,2970,flat,down,flat,E
FLEMING ELEMENTARY SCHOOL,1850,FRENCHMAN RE-3,2980,flat,up,up,E
FLEMING HIGH SCHOOL,1850,FRENCHMAN RE-3,2988,down,up,up,H
FLEMING HIGH SCHOOL,1850,FRENCHMAN RE-3,2988,flat,,up,M
FLETCHER INTERMEDIATE SCIENCE & TECHNOLOGY SCHOOL,180,ADAMS-ARAPAHOE 28J,2995,down,down,down,E
FLETCHER INTERMEDIATE SCIENCE & TECHNOLOGY SCHOOL,180,ADAMS-ARAPAHOE 28J,2995,up,up,up,M
FLETCHER PRIMARY SCHOOL,180,ADAMS-ARAPAHOE 28J,2998,down,,flat,E
FLORENCE CRITTENTON HIGH SCHOOL,880,DENVER COUNTY 1,3000,up,,down,H
FLORENCE HIGH SCHOOL,1150,FREMONT RE-2,3002,flat,flat,flat,H
FLORIDA MESA ELEMENTARY SCHOOL,1520,DURANGO 9-R,3012,flat,up,up,E
FOOTHILL ELEMENTARY SCHOOL,480,BOULDER VALLEY RE 2,3022,flat,flat,flat,E
FOOTHILLS ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,3025,up,up,flat,E
EAGLESIDE ELEMENTARY SCHOOL,1000,FOUNTAIN 8,3027,flat,flat,flat,E
FOX RIDGE MIDDLE SCHOOL,130,CHERRY CREEK 5,3030,up,up,up,M
FORCE ELEMENTARY SCHOOL,880,DENVER COUNTY 1,3032,flat,down,down,E
FORD ELEMENTARY SCHOOL,880,DENVER COUNTY 1,3038,flat,down,down,E
FORT COLLINS HIGH SCHOOL,1550,POUDRE R-1,3046,flat,up,up,H
FORT LEWIS MESA ELEMENTARY SCHOOL,1520,DURANGO 9-R,3050,up,up,up,E
SHERIDAN ELEMENTARY,123,SHERIDAN 2,3054,down,up,up,E
FORT LUPTON MIDDLE SCHOOL,3140,WELD COUNTY S/D RE-8,3066,flat,up,flat,M
FORT LUPTON HIGH SCHOOL,3140,WELD COUNTY S/D RE-8,3070,down,down,flat,H
FORT MORGAN MIDDLE SCHOOL,2405,FORT MORGAN RE-3,3074,flat,up,up,M
FORT MORGAN HIGH SCHOOL,2405,FORT MORGAN RE-3,3078,up,up,up,H
FOSTER ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,3088,up,up,flat,E
LOCHBUIE ELEMENTARY SCHOOL,3090,KEENESBURG RE-3(J),3090,flat,down,flat,E
ARAGON ELEMENTARY SCHOOL,1000,FOUNTAIN 8,3102,flat,up,flat,E
FOOTHILLS ELEMENTARY SCHOOL,1040,ACADEMY 20,3104,flat,flat,up,E
FOSSIL RIDGE HIGH SCHOOL,1550,POUDRE R-1,3105,flat,up,flat,H
FOUNTAIN MIDDLE SCHOOL,1000,FOUNTAIN 8,3106,flat,down,down,M
MESA ELEMENTARY SCHOOL,1000,FOUNTAIN 8,3108,down,flat,down,E
FOUNTAIN-FORT CARSON HIGH SCHOOL,1000,FOUNTAIN 8,3110,flat,flat,flat,H
FOWLER JUNIOR HIGH SCHOOL,2540,FOWLER R-4J,3130,up,up,up,M
FOWLER HIGH SCHOOL,2540,FOWLER R-4J,3134,down,up,up,H
FOX CREEK ELEMENTARY SCHOOL,900,DOUGLAS COUNTY RE 1,3138,flat,flat,flat,E
FRANCIS M. DAY ELEMENTARY SCHOOL,70,WESTMINSTER 50,3144,flat,up,up,E
FRANKLIN MIDDLE SCHOOL,3120,GREELEY 6,3162,down,down,down,M
FRANKTOWN ELEMENTARY SCHOOL,900,DOUGLAS COUNTY RE 1,3172,flat,down,down,E
FREEDOM ELEMENTARY SCHOOL,1010,COLORADO SPRINGS 11,3175,down,down,flat,E
FRASER VALLEY ELEMENTARY SCHOOL,1350,EAST GRAND 2,3182,flat,up,up,E
FREDERICK ELEMENTARY SCHOOL,470,ST VRAIN VALLEY RE 1J,3192,up,up,flat,E
COAL RIDGE MIDDLE SCHOOL,470,ST VRAIN VALLEY RE 1J,3194,flat,up,up,M
FREDERICK SENIOR HIGH SCHOOL,470,ST VRAIN VALLEY RE 1J,3196,flat,down,down,H
FREE HORIZON MONTESSORI CHARTER SCHOOL,1420,JEFFERSON COUNTY R-1,3201,flat,down,flat,E
FREED MIDDLE SCHOOL,2690,PUEBLO CITY 60,3206,down,flat,flat,M
GARDEN PARK HIGH SCHOOL,1140,CANON CITY RE-1,3211,,,down,H
FREMONT ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,3216,flat,down,flat,E
FREMONT ELEMENTARY SCHOOL,1010,COLORADO SPRINGS 11,3218,down,flat,down,E
COTOPAXI ELEMENTARY SCHOOL,1160,COTOPAXI RE-3,3220,flat,up,flat,E
FREMONT ELEMENTARY SCHOOL,1150,FREMONT RE-2,3224,down,flat,up,E
FREMONT MIDDLE SCHOOL,1150,FREMONT RE-2,3226,down,flat,flat,M
COTOPAXI JUNIOR-SENIOR HIGH SCHOOL,1160,COTOPAXI RE-3,3228,up,flat,flat,H
COTOPAXI JUNIOR-SENIOR HIGH SCHOOL,1160,COTOPAXI RE-3,3228,flat,down,down,M
FRENCH ELEMENTARY SCHOOL,990,WIDEFIELD 3,3234,flat,down,down,E
FRONTIER HIGH SCHOOL,920,ELIZABETH C-1,3236,up,up,up,H
FRONTIER ELEMENTARY SCHOOL,1040,ACADEMY 20,3238,flat,down,flat,E
FRONTIER VALLEY ELEMENTARY SCHOOL,900,DOUGLAS COUNTY RE 1,3241,flat,flat,flat,E
FRUITA MIDDLE SCHOOL,2000,MESA COUNTY VALLEY 51,3244,flat,flat,flat,M
FRUITVALE ELEMENTARY SCHOOL,2000,MESA COUNTY VALLEY 51,3262,up,flat,flat,E
FULTON ELEMENTARY SCHOOL,180,ADAMS-ARAPAHOE 28J,3272,down,flat,flat,E
FUTURES ACADEMY,2700,PUEBLO COUNTY 70,3279,,,down,A
FUTURES ACADEMY,2700,PUEBLO COUNTY 70,3279,flat,,down,H
GRAHAM MESA ELEMENTARY SCHOOL,1195,GARFIELD RE-2,3281,up,up,flat,E
GALETON ELEMENTARY SCHOOL,3085,EATON RE-2,3286,flat,down,down,E
GARDEN PLACE ELEMENTARY SCHOOL,880,DENVER COUNTY 1,3296,up,flat,flat,E
GARDNER ELEMENTARY SCHOOL,1390,HUERFANO RE-1,3306,flat,,up,E
GARDNER ELEMENTARY SCHOOL,1390,HUERFANO RE-1,3306,down,down,down,M
GARFIELD ELEMENTARY SCHOOL,1560,THOMPSON R2-J,3320,flat,up,flat,E
GARNET MESA ELEMENTARY SCHOOL,870,DELTA COUNTY 50(J),3330,flat,down,flat,E
ARCHULETA ELEMENTARY SCHOOL,880,DENVER COUNTY 1,3340,flat,flat,flat,E
GATEWAY HIGH SCHOOL,180,ADAMS-ARAPAHOE 28J,3354,down,down,flat,H
GALILEO SCHOOL OF MATH AND SCIENCE,1010,COLORADO SPRINGS 11,3360,down,down,down,M
GEORGE WASHINGTON HIGH SCHOOL,880,DENVER COUNTY 1,3378,flat,down,flat,H
GEORGETOWN COMMUNITY SCHOOL,540,CLEAR CREEK RE-1,3385,flat,flat,down,E
GIBERSON ELEMENTARY SCHOOL,980,HARRISON 2,3392,flat,down,down,E
GILCREST ELEMENTARY SCHOOL,3080,WELD COUNTY RE-1,3398,flat,up,up,E
GILPIN ELEMENTARY SCHOOL,880,DENVER COUNTY 1,3426,down,flat,flat,E
GLENNON HEIGHTS ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,3450,down,flat,flat,E
GLENWOOD SPRINGS ELEMENTARY SCHOOL,1180,ROARING FORK RE-1,3460,up,up,up,E
GLENWOOD SPRINGS MIDDLE SCHOOL,1180,ROARING FORK RE-1,3464,flat,up,up,M
GLENWOOD SPRINGS HIGH SCHOOL,1180,ROARING FORK RE-1,3468,up,flat,flat,H
GLOBE CHARTER SCHOOL,1010,COLORADO SPRINGS 11,3470,up,flat,flat,E
GLOBAL VILLAGE ACADEMY,180,ADAMS-ARAPAHOE 28J,3471,up,down,down,E
GLOBAL VILLAGE ACADEMY,180,ADAMS-ARAPAHOE 28J,3471,down,flat,flat,M
GODDARD MIDDLE SCHOOL,140,LITTLETON 6,3472,flat,flat,flat,M
GOAL ACADEMY,8001,CHARTER SCHOOL INSTITUTE,3475,,,flat,A
GOAL ACADEMY,8001,CHARTER SCHOOL INSTITUTE,3475,flat,flat,up,H
GOAL ACADEMY,8001,CHARTER SCHOOL INSTITUTE,3475,flat,flat,flat,M
GODSMAN ELEMENTARY SCHOOL,880,DENVER COUNTY 1,3478,up,down,flat,E
GOLD CAMP ELEMENTARY SCHOOL,1020,CHEYENNE MOUNTAIN 12,3482,flat,flat,up,E
HALCYON SCHOOL (SPECIAL EDUCATION),480,BOULDER VALLEY RE 2,3499,,,down,A
HALCYON SCHOOL (SPECIAL EDUCATION),480,BOULDER VALLEY RE 2,3499,,,down,H
GOLDEN HIGH SCHOOL,1420,JEFFERSON COUNTY R-1,3502,flat,flat,flat,H
GOLDRICK ELEMENTARY SCHOOL,880,DENVER COUNTY 1,3512,down,down,down,E
FOX MEADOW MIDDLE SCHOOL,980,HARRISON 2,3522,flat,flat,flat,M
GOVERNOR'S RANCH ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,3536,flat,flat,down,E
BEAR CREEK ELEMENTARY SCHOOL,1080,LEWIS-PALMER 38,3539,flat,flat,flat,E
GRANADA ELEMENTARY SCHOOL,2650,GRANADA RE-1,3542,down,flat,flat,E
GRANADA UNDIVIDED HIGH SCHOOL,2650,GRANADA RE-1,3546,flat,flat,flat,H
GRANADA UNDIVIDED HIGH SCHOOL,2650,GRANADA RE-1,3546,flat,flat,up,M
GRANBY ELEMENTARY SCHOOL,1350,EAST GRAND 2,3556,flat,flat,flat,E
GRAND JUNCTION HIGH SCHOOL,2000,MESA COUNTY VALLEY 51,3570,flat,flat,flat,H
BEA UNDERWOOD ELEMENTARY SCHOOL,1220,GARFIELD 16,3578,up,,down,E
GRAND MESA HIGH SCHOOL,1990,PLATEAU VALLEY 50,3582,,,flat,H
GRAND MESA MIDDLE SCHOOL,2000,MESA COUNTY VALLEY 51,3584,down,down,down,M
GRAND VALLEY HIGH SCHOOL,1220,GARFIELD 16,3586,up,flat,flat,H
GRANDVIEW HIGH SCHOOL,130,CHERRY CREEK 5,3589,flat,flat,flat,H
GRANT ELEMENTARY SCHOOL,1010,COLORADO SPRINGS 11,3592,flat,flat,flat,E
GRANT MIDDLE SCHOOL,880,DENVER COUNTY 1,3600,flat,flat,flat,M
L.W. ST. JOHN ELEMENTARY SCHOOL,1220,GARFIELD 16,3603,flat,down,down,E
GRANT RANCH K-8 SCHOOL,880,DENVER COUNTY 1,3605,flat,down,down,E
GRANT RANCH K-8 SCHOOL,880,DENVER COUNTY 1,3605,flat,flat,flat,M
GREELEY CENTRAL HIGH SCHOOL,3120,GREELEY 6,3610,down,flat,flat,H
GREELEY WEST HIGH SCHOOL,3120,GREELEY 6,3614,down,flat,flat,H
GREEN ACRES ELEMENTARY SCHOOL,2405,FORT MORGAN RE-3,3620,flat,flat,flat,E
GREEN GABLES ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,3622,flat,up,flat,E
GREEN MOUNTAIN ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,3624,flat,down,down,E
GREEN MOUNTAIN HIGH SCHOOL,1420,JEFFERSON COUNTY R-1,3628,down,down,flat,H
GIRLS ATHLETIC LEADERSHIP SCHOOL,880,DENVER COUNTY 1,3639,flat,flat,flat,M
GREEN VALLEY ELEMENTARY SCHOOL,880,DENVER COUNTY 1,3641,up,up,up,E
GREENWOOD ECE-8,880,DENVER COUNTY 1,3647,down,up,up,E
GREENWOOD ECE-8,880,DENVER COUNTY 1,3647,up,flat,flat,M
GREENWOOD ELEMENTARY SCHOOL,130,CHERRY CREEK 5,3648,flat,up,up,E
GREENLEE ELEMENTARY SCHOOL,880,DENVER COUNTY 1,3655,flat,flat,flat,E
PAWNEE ELEMENTARY SCHOOL,3148,PAWNEE RE-12,3672,down,down,down,E
GUNNISON ELEMENTARY SCHOOL,1360,GUNNISON WATERSHED RE1J,3690,flat,flat,up,E
GUNNISON HIGH SCHOOL,1360,GUNNISON WATERSHED RE1J,3694,flat,flat,flat,H
GUNNISON MIDDLE SCHOOL,1360,GUNNISON WATERSHED RE1J,3697,flat,flat,flat,M
GUST ELEMENTARY SCHOOL,880,DENVER COUNTY 1,3704,up,flat,flat,E
GYPSUM ELEMENTARY SCHOOL,910,EAGLE COUNTY RE 50,3710,up,down,down,E
HAAFF ELEMENTARY SCHOOL,2690,PUEBLO CITY 60,3724,down,down,down,E
HACKBERRY HILL ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,3726,flat,flat,flat,E
HAMILTON MIDDLE SCHOOL,880,DENVER COUNTY 1,3746,flat,flat,flat,M
HANOVER JUNIOR-SENIOR HIGH SCHOOL,1070,HANOVER 28,3758,flat,flat,flat,E
HANOVER JUNIOR-SENIOR HIGH SCHOOL,1070,HANOVER 28,3758,up,flat,up,H
HANOVER JUNIOR-SENIOR HIGH SCHOOL,1070,HANOVER 28,3758,down,up,up,M
CENTENNIAL HIGH SCHOOL,1550,POUDRE R-1,3760,down,,up,H
HARRINGTON ELEMENTARY SCHOOL,880,DENVER COUNTY 1,3778,flat,up,up,E
HARRIS BILINGUAL ELEMENTARY SCHOOL,1550,POUDRE R-1,3787,up,flat,flat,E
LAB ELEMENTARY SCHOOL FOR CREATIVE LEARNING,1550,POUDRE R-1,3791,down,down,down,E
HARRIS PARK ELEMENTARY SCHOOL,70,WESTMINSTER 50,3792,up,up,up,E
HARRISON SCHOOL,1140,CANON CITY RE-1,3802,flat,down,down,E
HARRISON SCHOOL,1140,CANON CITY RE-1,3802,flat,down,down,M
HARRISON HIGH SCHOOL,980,HARRISON 2,3806,flat,flat,up,H
HAXTUN ELEMENTARY SCHOOL,2630,HAXTUN RE-2J,3846,flat,flat,flat,E
HAXTUN ELEMENTARY SCHOOL,2630,HAXTUN RE-2J,3846,flat,flat,flat,M
HAXTUN HIGH SCHOOL,2630,HAXTUN RE-2J,3850,flat,flat,flat,H
HAYDEN MIDDLE SCHOOL,2760,HAYDEN RE-1,3860,up,up,up,M
HAYDEN HIGH SCHOOL,2760,HAYDEN RE-1,3862,down,flat,flat,H
HEATH MIDDLE SCHOOL,3120,GREELEY 6,3880,down,down,down,M
HEATHERWOOD ELEMENTARY SCHOOL,480,BOULDER VALLEY RE 2,3882,flat,up,flat,E
HUNT ELEMENTARY SCHOOL,1010,COLORADO SPRINGS 11,3890,down,up,flat,E
HENDERSON ELEMENTARY SCHOOL,40,BRIGHTON 27J,3900,down,down,flat,E
HENRY ELEMENTARY SCHOOL,1010,COLORADO SPRINGS 11,3920,flat,down,flat,E
HERITAGE ELEMENTARY SCHOOL,2690,PUEBLO CITY 60,3924,up,up,up,E
HERITAGE ELEMENTARY SCHOOL,130,CHERRY CREEK 5,3926,flat,flat,flat,E
HERITAGE ELEMENTARY SCHOOL,900,DOUGLAS COUNTY RE 1,3928,flat,flat,up,E
HERITAGE HIGH SCHOOL,140,LITTLETON 6,3930,flat,flat,flat,H
HIDDEN LAKE HIGH SCHOOL,70,WESTMINSTER 50,3931,up,up,up,H
HIGH PEAKS ELEMENTARY SCHOOL,480,BOULDER VALLEY RE 2,3940,flat,down,flat,E
